pool_id,token_pair,inferred_tier,quote_depth_ready,fee_velocity_ready,entry_snapshot_ready,il_lvr_proxy_ready,fixed_cost_proxy_ready,all_required_ready,confidence,blocker
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,0xFDE4C96C8593536E31F229EA8F37B2ADA2699BB2/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,B,no,yes,no,no,yes,no,low,quote_depth_low_confidence
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,B,yes,yes,yes,yes,yes,yes,high,
0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,WETH/cbBTC,C,no,yes,no,no,yes,no,low,quote_depth_low_confidence
0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,B,yes,yes,yes,yes,yes,yes,high,
0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,B,yes,yes,no,no,yes,no,high,entry_snapshot_missing_or_unsafe
DJNtGuBGEQiUCWE8F981M2C3ZghZt2XLD8f2sQdZ6rsZ,So11111111111111111111111111111111111111112/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,B,no,yes,yes,yes,yes,no,low,quote_depth_low_confidence
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,VIRTUAL/WETH,C,yes,yes,no,no,yes,no,high,entry_snapshot_missing_or_unsafe
0xdb7795a08556d75ff1cdae2839d4f81c4e3c7636c40fb8d47c84db361ec63015,0xC3883BA3154DEB530B88656A0CD00185E6BEDB07/USDC,C,no,yes,no,no,yes,no,low,quote_depth_low_confidence
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,B,yes,yes,yes,yes,yes,yes,high,
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,0x4ED4E862860BED51A9570B96D89AF5E1B0EFEFED/0x4200000000000000000000000000000000000006,C,no,yes,no,no,yes,no,low,quote_depth_low_confidence
0x0fbcaaf346e1b812a63b2cf196841ed7664ae1d4fa3e9fd93b29266801c15f44,0x0B2558BDBC7FFEC0F327FB3579C23DABD1699706/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,C,no,yes,no,no,yes,no,low,quote_depth_low_confidence
0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,B,yes,yes,yes,yes,yes,yes,high,
0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,0x9126236476EFBA9AD8AB77855C60EB5BF37586EB/USDC,C,yes,yes,no,no,yes,no,high,entry_snapshot_missing_or_unsafe
0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,PLAY/USDC,C,no,yes,no,no,yes,no,low,quote_depth_low_confidence
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,A,yes,yes,yes,yes,yes,yes,high,
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,B,yes,yes,yes,yes,yes,yes,high,
0x8a8e4170c09074b109352190d47e54d7c1f61e4e,0x8B7DDE054BE9D180C1BE7FAE0874697374A49832/USDC,B,yes,yes,no,no,yes,no,high,entry_snapshot_missing_or_unsafe
0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,C,yes,yes,no,no,yes,no,high,entry_snapshot_missing_or_unsafe
0x659be70647b0f63217d60e077f4417b1ecc65064,0x16EE7ECAC70D1028E7712751E2EE6BA808A7DD92/USDC,C,no,yes,no,no,yes,no,low,quote_depth_low_confidence
0x3f0296bf652e19bca772ec3df08b32732f93014a,VIRTUAL/WETH,B,yes,yes,no,no,yes,no,high,entry_snapshot_missing_or_unsafe
0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,C,yes,yes,no,no,yes,no,high,entry_snapshot_missing_or_unsafe
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,B,yes,yes,no,no,yes,no,high,entry_snapshot_missing_or_unsafe
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF/0x4200000000000000000000000000000000000006,B,no,yes,no,no,yes,no,low,quote_depth_low_confidence
0x0ab02e160f0df68dc049b012c514857306960eae,0x11030F79109269D796FD0FB956D6244E502757F7/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,B,no,yes,no,no,yes,no,low,quote_depth_low_confidence
0xe2444faa67022125a059c19d5737d8e4dad251fa,0x8C0D3ADCF8CE094E1AE437557EC90A6374DC9BDD/0x4200000000000000000000000000000000000006,C,no,yes,no,no,yes,no,low,quote_depth_low_confidence
